Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
Innoviti,2015.0,Bangaluru,Undisclosed,Digital payments solutions company,Rajeev Agrawal,FMO,5000000 ,Seed,,Bangaluru,India
Paytm money,2010.0,Bangaluru,Fintech,Wealth Management,Vijay Shekhar Sharma,One97 Communications,5600000 ,Seed,,Bangaluru,India
Vedantu,2015.0,Bangaluru,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,24000000 ,Series C,,Bangaluru,India
Yap,2015.0,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",1402000 ,Seed,,Chennai,India
Clover,2015.0,Bangaluru,AgriTech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",5500000 ,Series A,,Bangaluru,India
Nova Credit,2015.0,Bangaluru,Fintech,Cross-border consumer credit startup,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000 ,Series B,,Bangaluru,India
CodingNinjas,2016.0,Delhi,Edtech,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,5200000 ,Series A,,Delhi,India
Furlenco,2011.0,Bangaluru,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,2200000 ,Series C,,Bangaluru,India
Brick&Bolt,2018.0,Bangaluru,Undisclosed,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,1500000 ,Pre series A,,Bangaluru,India
HempStreet,2019.0,Bangaluru,Healthtech,Manufacturer of ayurvedic medicines based on cannabis,Abhishek Mohan,Pharmacon Holdings,1000000 ,Pre series A,,Bangaluru,India
MoEngage,2015.0,Bangaluru,Marketing,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000 ,Series C,,Bangaluru,India
Classplus,2018.0,Bangaluru,Edtech,It allows coaching centres to take their brick-and-mortar setup online,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",2500000 ,Pre series A,,Bangaluru,India
Chaayos,2012.0,Bangaluru,Beverages,Provides customised range of tea,"Nitin Saluja, Raghav Verma",Think Investment,21500000 ,Seed,,Bangaluru,India
PetPooja,2011.0,Ahmedabad,SaaS,Restaurant management software provider,Apurv Patel,Udaan,2000000 ,Seed,,Ahmedabad,India
Altor,2015.0,Bangaluru,Tech,Makes helmets that are IoT and AI enabled,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,,Seed,,Bangaluru,India
Pepperfry,2013.0,Mumbai,E-market,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,40000000 ,Series F,,Mumbai,India
FirstCry,2010.0,Pune,E-market,Baby products marketplace,"Supam Maheshwari, Amitava Saha",Softbank’s Vision Fund,296000000 ,Series E,,Pune,India
Byju,2011.0,Bangaluru,Edtech,Provides online learning classes,Byju Raveendran,General Atlantic,200000000 ,Seed,,Bangaluru,India
Waycool,2015.0,Chennai,AgriTech,Food development and distribution services,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,32000000 ,Series C,,Chennai,India
WorkIndia,2015.0,Bangaluru,HR,An online and mobile-based platform that connects companies with blue collar employees.,Kunal Patil,Xiaomi,6000000 ,Seed,,Bangaluru,India
Qyuki,2015.0,Mumbai,Media,Multi-channel broadcast network,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,3500000 ,Seed,,Mumbai,India
Leap India,2015.0,Coimbatore,AgriTech,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,30000000 ,Series B,,Coimbatore,India
Picxy,2015.0,Hyderabad,Media,Stock photo industry,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000 ,Seed,,Hyderabad,India
Krimanshi,2015.0,Jodhpur,AgriTech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,20000 ,Seed,,Jodhpur,India
NEETprep,2015.0,Delhi,Edtech,Provides crash course for NEET preparation,Kapil Gupta,IndiaQuotient,,Seed,,Delhi,India
Dot Pvt. Ltd,2015.0,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,Shailaz Nag,"PayU, Fosun RZ Capital",8000000 ,Seed,,Gurugram,India
Kuku FM,2015.0,Mumbai,Media,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,5500000 ,Series A,,Mumbai,India
SuperMoney,2018.0,Mumbai,Fintech,Provides financial tools for effective business making,Nikhil Banerjee,Unitus Ventures.,1000000 ,Pre series A,,Mumbai,India
Rebel Foods,2015.0,Bangaluru,Food,It runs internet kitchen,"Jaydeep Barman, Kallol Bannerjee",Alteria Capital,4900000 ,Seed,,Bangaluru,India
AlphaVector,2015.0,Bangaluru,E tailor,It sells modern age bicycles named FROG,Sachin Chopra,"Avaana Capital, Titan Capital",,Seed,,Bangaluru,India
Fox Capital,2019.0,Jaipur,Fintech,Digital lending startup,Rakesh Sharma,Institutional Investors,2500000 ,Seed,,Jaipur,India
Tribe Theory,2015.0,Bangaluru,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,Katie Russel and Daniel Wiegand,Tim Draper,3500000 ,Seed,,Bangaluru,India
Fleetx,2015.0,Bangaluru,SaaS,Fleet management and predictive analytics platform,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,1402400 ,Series A,,Bangaluru,India
Embibe,2015.0,Mumbai,Edtech,It provides AI-based data analytics to personalise learning outcomes,Aditi Avasthi,Reliance Industries Limited (RIL),12618300 ,Seed,,Mumbai,India
Entri,2017.0,Kochi,Edtech,It is a app that provides different types of learning content in local languages,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,1400000 ,Seed,,Kochi,India
Oye! Rickshaw,2015.0,Bangaluru,E-mobility,App-based electric rickshaw hailing service,Akash Deep,Chiratae Ventures,10000000 ,Series A,,Bangaluru,India
Seal Professional,2012.0,Bangaluru,Edtech,Trains students in managemnt and leadership skills and also helps in placement,Undisclosed,Equanimity Ventures,,Pre series A,,Bangaluru,India
Sprinng Foods,2015.0,Mumbai,Food,Provides Gluten-free food,Tarun Khanna,"Mistletoe, Info Edge Asia",,Seed,,Mumbai,India
1MG,2015.0,Gurugram,Healthtech,Online pharmacy,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation,9900000 ,Seed,,Gurugram,India
Aagey,2015.0,Bangaluru,Fintech,Provides financial assistance to MSMEs,Akaash Shankar,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",,Seed,,Bangaluru,India
Doubtnut,2017.0,Gurugram,Edtech,Multi-lingual digital solutions platform for students,"Tanushri Nagori, Aditya Shankar",Tencent,15000000 ,Series A,,Gurugram,India
AdonMo,2017.0,Bangaluru,Ad-tech,It is an online and outdoor advertising company,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,3000000 ,Seed,,Bangaluru,India
RACEnergy,2018.0,Bangaluru,E-mobility,It builds electric vehicles and supporting infrastructure,"Arun Sreyas, Gautham Maheswaran","GrowX ventures, Prophetic Ventures",,Seed,,Bangaluru,India
