Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
Univ.ai,2019.0,Bangaluru,EdTech,"A distributed, global educational powerhouse that draws on technology","Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,,Seed,,Bangaluru,India
PurohitJi,2015.0,Bangaluru,Linguistic Spiritual,App for Hindu Puja Products & Services,Nakerikanti Harish,Bhadresh,,Seed,,Bangaluru,India
CredoLab,2015.0,"Singapore, Singapore",Tech,AI credit scoring platform,Peter Barcak,"GB Group, Walden International",7000000 ,Series A,,Singapore, Singapore
Brick&Bolt,2018.0,Bangaluru,Construction,"A construction company doing house construction, building construction, commercial construction","Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka",2200000 ,Series A,,Bangaluru,India
Grinntech,2013.0,Chennai,Battery manufacturer,Leading on all fronts of battery design,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan",2000000 ,Seed,,Chennai,India
6Degree,2014.0,Mumbai,Fashion,India's leading fashion business platform,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners",340000 ,Seed,,Mumbai,India
Exprs,2018.0,Bangaluru,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor",5660000 ,Seed,,Bangaluru,India
Bikayi,2019.0,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,2000000 ,Seed,,Hyderabad,India
Virtual Forest,2019.0,Bangaluru,Tech,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto and Electronics Ltd,,Seed,,Bangaluru,India
The Health company,2018.0,Gurugram,AI,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",350000 ,Seed,,Gurugram,India
TrulyMadly Matchmakers,2014.0,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",110000 ,Pre-Series A,,Gurugram,India
TrueFan,2020.0,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",4300000 ,Seed,,Mumbai,India
Fanspole,2015.0,Mumbai,Gaming,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,,Pre-Seed,,Mumbai,India
Byju's,2011.0,Bangaluru,EdTech,Provides online learning classes,Byju Raveendran,DST Global,122000000 ,Seed,,Bangaluru,India
Avail Finance,2017.0,Bangaluru,Fintech,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",11635000 ,Series B,,Bangaluru,India
The Money Club,2015.0,Delhi,AI,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,,Seed,,Delhi,India
Virohan,2018.0,Gurgaon,Healthcare/Edtech,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",2800000 ,Seed & Series A,,Gurgaon,India
OneCode,2015.0,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",WaterBridge Ventures,,Seed,,Gurugram,India
Verloop.io,2015.0,Bangaluru,AI,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave incubation,5000000 ,Seed,,Bangaluru,India
Otipy,2020.0,Bangaluru,AgriTech/Commerce,Connects consumers with farmers thorugh women resellers,Varun Khanna,Inflection Point Ventures,1000000 ,Pre Series A,,Bangaluru,India
Evage,2014.0,Chandigarh,Mobility,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,,Seed,,Chandigarh,India
LEAD School,2012.0,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",28000000 ,Series C,,Mumbai,India
Trell,2016.0,Bangaluru,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",11000000 ,Series A,,Bangaluru,India
Captain Fresh,2019.0,Bangaluru,Food & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,2300000 ,Pre Series A,,Bangaluru,India
Teachmint,2015.0,Bangaluru,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,,Seed,,Bangaluru,India
Pixxel,2019.0,Bangaluru,SpaceTech,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures",5000000 ,Seed,,Bangaluru,India
Habbit Health,2019.0,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3one4 Capital, Angel list India",,Pre-Seed,,Delhi,India
SmarterBiz,2014.0,Bangaluru,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",1065000 ,Pre Series A,,Bangaluru,India
Able Jobs,2019.0,Bangaluru,HR,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",2000000 ,Seed,,Bangaluru,India
Vieroots,2018.0,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,,Seed,,Kochi,India
Stack Finance,2019.0,Bangaluru,Fintech,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"SOSV, MOX (Mobile Only Accelerator)",,Seed,,Bangaluru,India
FPL Technologies,2015.0,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",10000000 ,Series A,,Pune,India
Masai School,2019.0,Bangaluru,EdTech,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, AngelList India",2500000 ,Series A,,Bangaluru,India
Mitron,2015.0,Bangaluru,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,5000000 ,Series A,,Bangaluru,India
Daalchini,2017.0,Bangaluru,IoT,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,669000 ,Pre Series A,,Bangaluru,India
Suno India,2018.0,Bangaluru,Media,Multilingual podcast platform,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,,Angel,,Bangaluru,India
LendingKart,2014.0,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Public banks, Private lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",16076000 ,Series D,,Ahmedabad,India
Text Mercato,2015.0,Bangaluru,Undisclosed,Cataloguing startup that serves ecommerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,649600 ,Series A,,Bangaluru,India
Eden Smart Homes,2018.0,Bangaluru,IoT,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,,Seed,,Bangaluru,India
GrayQuest,2017.0,Mumbai,EdTech,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,1000000 ,Pre Series A,,Mumbai,India
BigHaat,2015.0,Bangaluru,AgriTech,Agri-inputs ecommerce player,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures",2000000 ,Pre Series A,,Bangaluru,India
CityCash,2017.0,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,1000000 ,Seed,,Mumbai,India
HomeLane,2014.0,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000 ,Series D,,Chennai,India
HungerBox,2015.0,Bangaluru,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",IIFL Income Opportunities Fund,6700000 ,Series C,,Bangaluru,India
DaveAI,2015.0,Bangaluru,AI,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,,Seed,,Bangaluru,India
Eduvanz,2016.0,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,5000000 ,Series A,,Mumbai,India
ZipLoan,2015.0,Delhi,Fintech,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,2000000 ,Seed,,Delhi,India
DocSumo,2019.0,Mumbai,AI,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",220000 ,Seed,,Mumbai,India
CUSMAT,2016.0,Warangal,AR/VR,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",,Seed,,Warangal,India
Chingari,2018.0,Bangaluru,Media,Short video platform,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",1300000 ,Seed,,Bangaluru,India
Bolo Indya,2015.0,Gurugram,Media,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, HNIs",300000 ,Pre series A1,,Gurugram,India
Data Sutram,2018.0,Kolkata,AI,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",266500 ,Seed,,Kolkata,India
Wobot Intelligence,2015.0,Delhi,AI,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000 ,Pre Series A,,Delhi,India
DrinkPrime,2015.0,Bangaluru,Appliance,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,2879000 ,Pre Series A,,Bangaluru,India
Infeedo,2013.0,Gurugram,HR,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,700000 ,Seed,,Gurugram,India
Probus Smart Things,2015.0,Delhi,IoT,Platform for monitoring distribution sub-station performance and operations,"Anand Singh, Ankit Vaish",Unicorn India Ventures,,Seed,,Delhi,India
CrowdPouch,2015.0,Bangaluru,Tech,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,,Angel,,Bangaluru,India
Rebel Foods,2011.0,Mumbai,Food,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,26500000 ,Series E2,,Mumbai,India
Hevo,2017.0,Bangaluru,Tech,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",8000000 ,Series A,,Bangaluru,India
BigSpoon Foods,2019.0,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000 ,Pre series A,,Ahmedabad,India
Chingari,2015.0,Bangaluru,Media,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000 ,Seed,,Bangaluru,India
ShareChat,2015.0,Bangaluru,Media,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",351000 ,Seed,,Bangaluru,India
DatStop,2015.0,Delhi,Hospitality,It offers urban social space,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",,Seed,,Delhi,India
IPHM Services,2015.0,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,,Seed,,Mumbai,India
Wellcure,2015.0,Gurugram,Healthtech,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,200000 ,Seed,,Gurugram,India
VilCart,2018.0,Bangaluru,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",,Bridge,,Bangaluru,India
Firescore,2015.0,Mumbai,Gaming,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,500000 ,Seed,,Mumbai,India
BulBul,2018.0,Gurgaon,Social commerce,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,8700000 ,Seed,,Gurgaon,India
Toppr,2013.0,Mumbai,Edtech,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,46761000 ,Series D,,Mumbai,India
Pickright Technologies,2019.0,Bangaluru,Fintech,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000 ,Seed,,Bangaluru,India
Muse Wearables,2018.0,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,3000000 ,Seed,,Chennai,India
SATYA Microcapital,1995.0,Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,BlueOrchard Finance Limited,9.600000,Seed,,Delhi,India
WYN Studio,2015.0,Gurugram,Media,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,,Seed,,Gurugram,India
Fourth Partner Energy,2010.0,Bangaluru,Solar Solution,Largest startup in the distributed solar sector,Saif Dhorajiwala,ResponsAbility Investments AG,15000000 ,Seed,,Bangaluru,India
Entri,2017.0,Kochi,Edtech,Local language learning startup,Mohammed Hisamuddin,Good Capital,1700000 ,Pre series A,,Kochi,India
Snack Amor,2017.0,Mumbai,Foodtech,Healthy snack startup,Deepak Grover,Dr Srinivas Chunduru,,Seed,,Mumbai,India
MPowered,2015.0,Gurugram,SaaS,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani",21000000 ,Pre series A,,Gurugram,India
Leap Club,2020.0,Gurugram,Social e-commerce,Community led professional network for women,"Ragini Das, Anand Sinha",Titan Capital,,Seed,,Gurugram,India
Ather Energy,2013.0,Bangaluru,Automobile,Electric scooter manufacturer,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,11241000 ,Series C,,Bangaluru,India
Gigforce,2015.0,Bangaluru,HR,Provides staffing solutions for businesses,"Chirag Mittal, Parag Modi, Anirudh Syal",Unitus Venture,804000 ,Seed,,Bangaluru,India
Vegrow,2020.0,Bangaluru,AgriTech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",2500000 ,Seed,,Bangaluru,India
Finn,2019.0,Bangaluru,Fintech,Neobanking startup that digitises all banking transactions,"Suman Maram, Sudheer Maram","Unicorn India, PointOne Capital, Astir Ventures",,Pre series A,,Bangaluru,India
Bijnis,2015.0,Bangaluru,B2B marketplace,Provides a platform for manufacturers and retailers in digital transaction,"Siddharth Vij, Siddharth Rastogi, Shubham Agarwal, Chaitanya Rathi","Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures",10000000 ,Series A,,Bangaluru,India
iNurture,2009.0,Bangaluru,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,BlackSoil Capital,1340000 ,Seed,,Bangaluru,India
StyleDotMe,2014.0,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,467000 ,Pre series A,,Gurugram,India
Ripsey,2018.0,Mumbai,Nutrition,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,"Silky Singh, Alkheya Boora Rpsey",Ah! Ventures,133000 ,Seed,,Mumbai,India
ThriveFNC,2017.0,Pune,Health & Wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Mugdha Pradhan,Rajesh Ranavat,,Seed,,Pune,India
Vedantu,2011.0,Bangaluru,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,100000000 ,Series D,,Bangaluru,India
Magicpin,2015.0,Gurugram,Undisclosed,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Samsung Venture Investment Corporation,7000000 ,Series D,,Gurugram,India
Procol,2018.0,Delhi,AgriTech,Commodity procurement platform,"Gaurav Baheti, Sumit Mendiratta",Sequoia Surge,3823000 ,Seed,,Delhi,India
Yumlane,2016.0,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,Hitesh Ahuja,Jetty Ventures,1000000 ,Pre series A,,Mumbai,India
Crio,2018.0,Bangaluru,Edtech,A learning platform for developers,"Rathinamurthy R, Sridher Jeyachandran",021 Capital,934000 ,Seed,,Bangaluru,India
Openapp,2015.0,Bangaluru,IoT,Security solutions startup,Gotama Gowda,Unicorn India Ventures,500000 ,Seed,,Bangaluru,India
PumPumPum,2015.0,Gurugram,IoT/Automobile,Offers leased car services,"Tarun Lawadia, Sameer Kalra",LetsVenture Syndicate,293000 ,Seed,,Gurugram,India
uFony Services Pvt ltd,2015.0,Pune,Edtech,"School Diary, a platform that brings education to smartphones",Ashish C,Chennai Angels,,Seed,,Pune,India
Protinus Fashion Networking Pvt Ltd,2015.0,Mumbai,Fashion,Owns and operates fashion commerce and retail management platform 6Degree,"Nikhil Hegde, Amit Bhardwaj",SucSEED Ventures,,Pre series A,,Mumbai,India
Uable,2015.0,Bangaluru,Edtech,Online life skills development platform for children,Saurabh Saxena,3one4 Capital,,Seed,,Bangaluru,India
ParkSmart,2019.0,Delhi,IoT,Parking spot reservation platform,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi",Ah! Ventures,198000 ,Seed,,Delhi,India
Plum,2019.0,Bangaluru,Healthtech,Provides health benefits to corporates,"Abhishek Poddar, Saurabh Arora",Incubate Fund,927000 ,Seed,,Bangaluru,India
IncNut Digital,2011.0,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",RPSG Ventures,4000000 ,Series A,,Hyderabad,India
GigIndia,2017.0,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,"Sahil Sharma, Aditya Shirole",Incubate Fund India,971000 ,Pre series A,,Pune,India
Specsmaker,2007.0,Chennai,Eye Wear,Online optical chain for eye wears,Pratik Shah,Eight Road Ventures,3060000 ,Seed,,Chennai,India
Piggy Ride,2015.0,Bangaluru,SaaS,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",Manish Tewari,"JAFCO Asia, Artha Venture Fund",1862000 ,Pre series A,,Bangaluru,India
Chai Waale,2018.0,Chennai,Beverage,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",232000 ,Seed,,Chennai,India
NOTO,2015.0,Mumbai,Food,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",WEH Ventures,,Pre-Seed,,Mumbai,India
Cuemath,2013.0,Bangaluru,Edtech,It helps students to learn math online,Manan Khurma,Trifecta Capital,2888000 ,Series B,,Bangaluru,India
Cars24,2015.0,Gurgaon,Automobile,Online platform for selling used cars,Vikram Chopra,Vivriti Capital,1328000 ,Seed,,Gurgaon,India
JetSynthesys,2012.0,Pune,Digital,Digital entertainment and technology company,RajanNavani,"Adar Poonawalla, Kris Gopalakrishnan",40000000 ,Seed,,Pune,India
Earth Energy EV,2017.0,Mumbai,Automobile,Electric vehicles startup,Rushi Shenghani,LR Joshi,,Seed,,Mumbai,India
Green Cure,2015.0,Delhi,Health & Wellness,It sells herbal OTC products,"Sanchit Garg, Sanjeev Dadhich",Venture Catalysts,,Seed,,Delhi,India
Blue Sky Analytics,2018.0,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",1200000 ,Seed,,Gurugram,India
Edhusk,2017.0,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,,Seed,,Jaipur,India
Decentro,2020.0,Bangaluru,Fintech,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,15500000 ,Series A,,Bangaluru,India
Zolostays,2015.0,Bangaluru,Co-living,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000 ,Series C,,Bangaluru,India
Frontier Markets,2011.0,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",2250000 ,Pre series A,,Jaipur,India
Brainwired,2018.0,Kerala,AgriTech,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",,Seed,,Kerala,India
Aye Finance,2014.0,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,16753000 ,Series E,,Gurugram,India
Paper Boat,2013.0,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",3700000 ,Seed,,Gurugram,India
Ken42,2019.0,Bangaluru,Edtech,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,1470000 ,Seed,,Bangaluru,India
Forbidden Foods,2015.0,Delhi,Food,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",1000000 ,Seed,,Delhi,India
Universal Sportsbiz,2012.0,Bangaluru,Fashion,Indian fashion industry with on-trend products,Anjana Reddy,NB Ventures,530000 ,Seed,,Bangaluru,India
Gobbly,2015.0,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,500000 ,Seed,,Gurugram,India
Aerostrovilos,2015.0,Chennai,Automotive,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,,Seed,,Chennai,India
Mitron,2015.0,Bangaluru,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",267000 ,Seed,,Bangaluru,India
Bulk MRO,2015.0,Mumbai,B2B,A full stack B2B platform for industrial supplies,"Devang Shah, Gaurang Shah",Stride Ventures,3344000 ,Seed,,Mumbai,India
Inspektlabs,2019.0,Delhi,AI,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",600000 ,Pre series A,,Delhi,India
Big Bang Boom Solutions,2018.0,Chennai,Defense,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,1000000 ,Series A,,Chennai,India
Flinto,2013.0,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,7200000 ,Pre series B,,Chennai,India
Zetwerk,2018.0,Bangaluru,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,21000000 ,Series C,,Bangaluru,India
ChitMonks,2016.0,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,650000 ,Pre series A,,Hyderabad,India
Walrus,2019.0,Bangaluru,Fintech,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,,Pre-Seed,Pre-Seed,Bangaluru,India
Arth Designbuild,2015.0,Hyderabad,Construction,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures",1100000 ,Seed,,Hyderabad,India
goDutch,2015.0,Mumbai,Fintech,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",1700000 ,Seed,Seed Round,Mumbai,India
Rusk Media,2019.0,Delhi,Digital Media,It creates video content,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",,Seed,,Delhi,India
Bold Care,2019.0,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",,Pre-Seed,,Mumbai,India
Samosa Party,2017.0,Bangaluru,Food,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,,Seed,,Bangaluru,India
High Street Essentials,2012.0,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",2743000 ,Pre series C,,New Delhi,India
Byju's,2011.0,Bangaluru,Edtech,Provides online learning classes,Byju Raveendran,BOND,,Seed,,Bangaluru,India
Slice,2016.0,Bangaluru,Fintech,A financial platform for youngsters,Rajan Bajaj,Gunosy,6082000 ,Pre series B,,Bangaluru,India
Bombay Play,2015.0,Bangaluru,Gaming,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",1500000 ,Pre series A,,Bangaluru,India
Fullife,2011.0,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,Varun Khanna,Amansa Capital,6609000 ,Seed,,Mumbai,India
Oziva,2016.0,Bangaluru,Nutrition,Clean Label Active Nutrition Brand,"Aarti Gill, Mihir Gadani",Matrix Partners,5000000 ,Series A,,Bangaluru,India
Aye Finance,2014.0,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",27700000 ,Series E,,Gurugram,India
Aether Biomedical,2016.0,Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices","Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,,Seed,,Delhi,India
91springboard,2012.0,Delhi,Co-working,It offers collaborative workspace with varied amenities,"Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",5940000 ,Seed,,Delhi,India
